price_date,city_code,region_code,P91,P95,P98,DSL
2024-01-05,OAM,OTA,2.696,2.849,3.032,2.092
2024-01-05,OHK,MWT,2.753,2.907,3.097,2.191
2024-01-05,PAR,WGN,2.63,2.826,2.984,2.064
2024-01-05,PIC,MBH,2.758,2.904,3.123,2.154
2024-01-05,PMR,MWT,2.61,2.799,2.967,2.04
2024-01-05,PRA,WGN,2.602,2.806,2.944,2.047
2024-01-05,PUK,AUK,2.725,2.885,3.083,2.128
2024-01-05,QNS,OTA,2.774,2.927,3.114,2.18
2024-01-05,RAN,CAN,2.66,2.827,3.013,2.085
2024-01-05,REN,MBH,2.779,2.937,3.129,2.164
2024-01-05,RFT,WTC,2.885,3.056,3.196,2.286
2024-01-05,RIC,TAS,2.705,2.857,3.042,2.147
2024-01-05,ROT,BOP,2.684,2.852,3.032,2.11
2024-01-05,STK,NSN,2.71,2.889,3.072,2.13
2024-01-05,STR,TKI,2.752,2.907,3.072,2.167
2024-01-05,TAK,TAS,2.827,2.948,3.135,2.223
2024-01-05,TAN,STL,2.808,2.974,3.127,2.212
2024-01-05,TEA,WKO,2.681,2.863,2.997,2.068
2024-01-05,TGA,BOP,2.654,2.77,2.986,2.077
2024-01-05,THA,WKO,2.715,2.868,3.017,2.093
2024-01-05,TIM,CAN,2.682,2.855,3.044,2.109
2024-01-05,TMR,MWT,2.719,2.909,3.088,2.16
2024-01-05,TOK,WKO,2.708,2.874,3.024,2.096
2024-01-05,TOL,GIS,2.875,3.042,3.221,2.324
2024-01-05,TPO,WKO,2.752,2.908,3.06,2.129
2024-01-05,TPU,BOP,2.701,2.845,3.045,2.126
2024-01-05,UHT,WGN,2.624,2.797,2.92,2.051
2024-01-05,WAI,HKB,2.744,2.903,3.09,2.184
2024-01-05,WAN,OTA,2.762,2.915,3.107,2.174
2024-01-05,WHA,MWT,2.646,2.823,3.006,2.09
2024-01-05,WHE,AUK,2.847,3.025,3.2,2.272
2024-01-05,WHG,NTL,2.668,2.831,3.037,2.065
2024-01-05,WHK,BOP,2.715,2.829,3.039,2.121
2024-01-05,WLG,WGN,2.603,2.792,2.928,2.037
2024-01-05,WPT,WTC,2.854,2.998,3.153,2.244
2024-01-12,AKC,AUK,2.697,2.866,3.029,2.084
2024-01-12,ALE,OTA,2.729,2.862,3.058,2.149
2024-01-12,AMK,AUK,2.684,2.863,3.022,2.087
2024-01-12,ANS,AUK,2.709,2.87,3.033,2.095
2024-01-12,ASH,CAN,2.652,2.82,3.005,2.078
2024-01-12,BLE,MBH,2.705,2.911,3.019,2.126
2024-01-12,BLU,STL,2.779,2.877,3.101,2.19
2024-01-12,CAM,WKO,2.652,2.828,2.985,2.071
2024-01-12,CHC,CAN,2.59,2.757,2.969,2.028
2024-01-12,CRO,OTA,2.723,2.852,3.049,2.149
2024-01-12,DAR,NTL,2.764,2.91,3.149,2.18
2024-01-12,DUN,OTA,2.642,2.783,2.984,2.069
2024-01-12,FLD,MWT,2.671,2.829,2.986,2.075
2024-01-12,GBI,AUK,3.094,3.251,3.423,2.494
2024-01-12,GOR,STL,2.739,2.856,3.061,2.132
2024-01-12,GRY,WTC,2.767,2.931,3.117,2.194
2024-01-12,GSB,GIS,2.73,2.959,3.061,2.171
2024-01-12,HAM,WKO,2.614,2.793,2.949,2.012
2024-01-12,HAW,TKI,2.721,2.895,3.073,2.147
2024-01-12,HOK,WTC,2.798,2.975,3.149,2.226
2024-01-12,HST,HKB,2.674,2.814,2.991,2.099
2024-01-12,HVN,HKB,2.679,2.842,3.026,2.117
2024-01-12,INV,STL,2.686,2.813,3.025,2.093
2024-01-12,KAI,NTL,2.772,2.938,3.157,2.205
2024-01-12,KAI2,CAN,2.693,2.863,3.068,2.138
2024-01-12,KKE,NTL,2.76,2.914,3.132,2.177
2024-01-12,LHT,WGN,2.618,2.757,2.932,2.015
2024-01-12,LVN,MWT,2.646,2.827,2.989,2.071
2024-01-12,MAS,WGN,2.707,2.834,2.995,2.086
2024-01-12,MET,CAN,2.716,2.913,3.088,2.154
2024-01-12,MOT,TAS,2.759,2.905,3.091,2.151
2024-01-12,NEL,NSN,2.698,2.885,3.061,2.109
2024-01-12,NPL,TKI,2.65,2.814,2.985,2.078
2024-01-12,NPR,HKB,2.652,2.82,2.995,2.072
2024-01-12,OAM,OTA,2.692,2.852,3.04,2.139
2024-01-12,OHK,MWT,2.729,2.898,3.062,2.126
2024-01-12,PAR,WGN,2.653,2.79,2.963,2.063
2024-01-12,PIC,MBH,2.732,2.944,3.075,2.153
2024-01-12,PMR,MWT,2.577,2.785,2.953,2.025
2024-01-12,PRA,WGN,2.648,2.772,2.924,2.027
2024-01-12,PUK,AUK,2.744,2.896,3.072,2.146
2024-01-12,QNS,OTA,2.794,2.938,3.137,2.195
2024-01-12,RAN,CAN,2.622,2.803,3.003,2.064
2024-01-12,REN,MBH,2.763,2.944,3.074,2.171
2024-01-12,RFT,WTC,2.85,3.015,3.193,2.278
2024-01-12,RIC,TAS,2.734,2.879,3.059,2.121
2024-01-12,ROT,BOP,2.678,2.865,3.015,2.075
2024-01-12,STK,NSN,2.689,2.906,3.08,2.102
2024-01-12,STR,TKI,2.73,2.884,3.1,2.162
2024-01-12,TAK,TAS,2.817,2.977,3.154,2.22
2024-01-12,TAN,STL,2.802,2.95,3.143,2.209
2024-01-12,TEA,WKO,2.662,2.837,3.026,2.071
2024-01-12,TGA,BOP,2.619,2.833,2.949,2.037
2024-01-12,THA,WKO,2.673,2.861,3.021,2.085
2024-01-12,TIM,CAN,2.654,2.818,3.016,2.098
2024-01-12,TMR,MWT,2.698,2.878,3.049,2.151
2024-01-12,TOK,WKO,2.676,2.866,3.016,2.097
2024-01-12,TOL,GIS,2.869,3.082,3.211,2.279
2024-01-12,TPO,WKO,2.729,2.897,3.036,2.129
2024-01-12,TPU,BOP,2.68,2.879,3.007,2.075
2024-01-12,UHT,WGN,2.649,2.783,2.945,2.027
2024-01-12,WAI,HKB,2.744,2.911,3.06,2.168
2024-01-12,WAN,OTA,2.774,2.893,3.108,2.195
2024-01-12,WHA,MWT,2.643,2.813,2.984,2.062
2024-01-12,WHE,AUK,2.868,3.031,3.198,2.275
2024-01-12,WHG,NTL,2.676,2.825,3.05,2.105
2024-01-12,WHK,BOP,2.69,2.877,3.045,2.104
2024-01-12,WLG,WGN,2.62,2.749,2.92,2.014
2024-01-12,WPT,WTC,2.823,2.985,3.185,2.256
2024-01-19,AKC,AUK,2.648,2.845,3.021,2.104
2024-01-19,ALE,OTA,2.696,2.878,3.064,2.133
2024-01-19,AMK,AUK,2.644,2.853,2.991,2.075
2024-01-19,ANS,AUK,2.675,2.85,3.007,2.1
2024-01-19,ASH,CAN,2.663,2.801,2.992,2.082
2024-01-19,BLE,MBH,2.693,2.891,3.049,2.113
2024-01-19,BLU,STL,2.724,2.901,3.049,2.123
2024-01-19,CAM,WKO,2.654,2.834,2.973,2.058
2024-01-19,CHC,CAN,2.598,2.762,2.944,2.042
2024-01-19,CRO,OTA,2.672,2.864,3.035,2.116
2024-01-19,DAR,NTL,2.78,2.936,3.109,2.176
2024-01-19,DUN,OTA,2.613,2.788,2.955,2.051
2024-01-19,FLD,MWT,2.682,2.821,3.022,2.11
2024-01-19,GBI,AUK,3.074,3.239,3.422,2.485
2024-01-19,GOR,STL,2.696,2.858,3.036,2.111
2024-01-19,GRY,WTC,2.774,2.939,3.106,2.18
2024-01-19,GSB,GIS,2.746,2.905,3.095,2.164
2024-01-19,HAM,WKO,2.586,2.774,2.905,2.027
2024-01-19,HAW,TKI,2.72,2.895,3.041,2.143
2024-01-19,HOK,WTC,2.813,2.932,3.156,2.217
2024-01-19,HST,HKB,2.643,2.826,3.024,2.08
2024-01-19,HVN,HKB,2.682,2.851,3.037,2.114
2024-01-19,INV,STL,2.668,2.826,2.993,2.078
2024-01-19,KAI,NTL,2.799,2.942,3.14,2.179
2024-01-19,KAI2,CAN,2.723,2.869,3.043,2.136
2024-01-19,KKE,NTL,2.775,2.902,3.11,2.165
2024-01-19,LHT,WGN,2.57,2.766,2.943,2.015
2024-01-19,LVN,MWT,2.66,2.807,2.98,2.075
2024-01-19,MAS,WGN,2.679,2.851,3.026,2.078
2024-01-19,MET,CAN,2.748,2.897,3.069,2.167
2024-01-19,MOT,TAS,2.742,2.914,3.073,2.151
2024-01-19,NEL,NSN,2.694,2.875,3.01,2.105
2024-01-19,NPL,TKI,2.656,2.82,2.978,2.064
2024-01-19,NPR,HKB,2.651,2.818,2.994,2.072
2024-01-19,OAM,OTA,2.665,2.855,3.025,2.09
2024-01-19,OHK,MWT,2.759,2.897,3.081,2.148
2024-01-19,PAR,WGN,2.638,2.812,2.975,2.051
2024-01-19,PIC,MBH,2.725,2.907,3.106,2.139
2024-01-19,PMR,MWT,2.618,2.755,2.945,2.019
2024-01-19,PRA,WGN,2.609,2.784,2.96,2.03
2024-01-19,PUK,AUK,2.706,2.875,3.053,2.122
2024-01-19,QNS,OTA,2.776,2.94,3.112,2.207
2024-01-19,RAN,CAN,2.643,2.8,2.98,2.082
2024-01-19,REN,MBH,2.753,2.944,3.108,2.166
2024-01-19,RFT,WTC,2.883,2.999,3.178,2.272
2024-01-19,RIC,TAS,2.702,2.873,3.027,2.102
2024-01-19,ROT,BOP,2.68,2.863,3.018,2.116
2024-01-19,STK,NSN,2.68,2.878,3.029,2.119
2024-01-19,STR,TKI,2.722,2.911,3.056,2.14
2024-01-19,TAK,TAS,2.801,2.986,3.135,2.21
2024-01-19,TAN,STL,2.803,2.956,3.108,2.189
2024-01-19,TEA,WKO,2.648,2.832,2.978,2.081
2024-01-19,TGA,BOP,2.639,2.815,2.957,2.075
2024-01-19,THA,WKO,2.662,2.854,3.003,2.105
2024-01-19,TIM,CAN,2.666,2.827,2.985,2.099
2024-01-19,TMR,MWT,2.733,2.87,3.06,2.138
2024-01-19,TOK,WKO,2.67,2.857,2.994,2.111
2024-01-19,TOL,GIS,2.858,3.029,3.216,2.267
2024-01-19,TPO,WKO,2.689,2.885,3.041,2.132
2024-01-19,TPU,BOP,2.692,2.89,3.036,2.145
2024-01-19,UHT,WGN,2.612,2.8,2.966,2.02
2024-01-19,WAI,HKB,2.724,2.917,3.073,2.159
2024-01-19,WAN,OTA,2.747,2.908,3.099,2.188
2024-01-19,WHA,MWT,2.663,2.79,2.972,2.054
2024-01-19,WHE,AUK,2.832,3.019,3.184,2.271
2024-01-19,WHG,NTL,2.676,2.834,3.05,2.091
2024-01-19,WHK,BOP,2.708,2.902,3.046,2.152
2024-01-19,WLG,WGN,2.57,2.758,2.943,1.996
2024-01-19,WPT,WTC,2.833,2.975,3.165,2.242
2024-01-26,AKC,AUK,2.685,2.842,3.005,2.108
2024-01-26,ALE,OTA,2.721,2.877,3.075,2.124
2024-01-26,AMK,AUK,2.676,2.852,2.998,2.086
2024-01-26,ANS,AUK,2.711,2.86,3.029,2.102
2024-01-26,ASH,CAN,2.659,2.825,3.027,2.074
2024-01-26,BLE,MBH,2.726,2.898,3.044,2.134
2024-01-26,BLU,STL,2.761,2.937,3.063,2.15
2024-01-26,CAM,WKO,2.674,2.847,2.984,2.041
2024-01-26,CHC,CAN,2.605,2.788,2.968,2.039
2024-01-26,CRO,OTA,2.702,2.887,3.058,2.104
2024-01-26,DAR,NTL,2.786,2.95,3.105,2.209
2024-01-26,DUN,OTA,2.627,2.803,2.994,2.041
2024-01-26,FLD,MWT,2.691,2.878,3.053,2.112
2024-01-26,GBI,AUK,3.106,3.282,3.42,2.501
2024-01-26,GOR,STL,2.739,2.905,3.051,2.127
2024-01-26,GRY,WTC,2.791,2.95,3.12,2.178
2024-01-26,GSB,GIS,2.77,2.945,3.109,2.22
2024-01-26,HAM,WKO,2.639,2.799,2.926,2.012
2024-01-26,HAW,TKI,2.737,2.91,3.08,2.134
2024-01-26,HOK,WTC,2.808,2.989,3.163,2.191
2024-01-26,HST,HKB,2.707,2.853,3.033,2.11
2024-01-26,HVN,HKB,2.707,2.883,3.054,2.121
2024-01-26,INV,STL,2.706,2.844,3.003,2.086
2024-01-26,KAI,NTL,2.787,2.992,3.129,2.211
2024-01-26,KAI2,CAN,2.721,2.89,3.087,2.161
2024-01-26,KKE,NTL,2.741,2.953,3.117,2.183
2024-01-26,LHT,WGN,2.625,2.779,2.945,2.036
2024-01-26,LVN,MWT,2.667,2.862,3.043,2.102
2024-01-26,MAS,WGN,2.687,2.872,3.013,2.111
2024-01-26,MET,CAN,2.745,2.91,3.101,2.164
2024-01-26,MOT,TAS,2.749,2.956,3.082,2.186
2024-01-26,NEL,NSN,2.7,2.907,3.049,2.088
2024-01-26,NPL,TKI,2.658,2.837,3.0,2.061
2024-01-26,NPR,HKB,2.685,2.859,3.035,2.111
2024-01-26,OAM,OTA,2.685,2.873,3.037,2.087
2024-01-26,OHK,MWT,2.767,2.938,3.13,2.204
2024-01-26,PAR,WGN,2.628,2.825,2.976,2.074
2024-01-26,PIC,MBH,2.756,2.921,3.098,2.17
2024-01-26,PMR,MWT,2.642,2.805,3.0,2.077
2024-01-26,PRA,WGN,2.636,2.781,2.965,2.051
2024-01-26,PUK,AUK,2.726,2.899,3.024,2.134
2024-01-26,QNS,OTA,2.799,2.969,3.164,2.19
2024-01-26,RAN,CAN,2.652,2.825,3.005,2.061
2024-01-26,REN,MBH,2.779,2.931,3.103,2.198
2024-01-26,RFT,WTC,2.855,3.03,3.204,2.251
2024-01-26,RIC,TAS,2.73,2.896,3.035,2.134
2024-01-26,ROT,BOP,2.687,2.889,3.058,2.11
2024-01-26,STK,NSN,2.719,2.885,3.058,2.083
2024-01-26,STR,TKI,2.74,2.921,3.077,2.161
2024-01-26,TAK,TAS,2.819,3.016,3.132,2.246
2024-01-26,TAN,STL,2.806,2.961,3.111,2.202
2024-01-26,TEA,WKO,2.687,2.872,2.999,2.062
2024-01-26,TGA,BOP,2.632,2.826,2.993,2.075
2024-01-26,THA,WKO,2.697,2.856,3.022,2.08
2024-01-26,TIM,CAN,2.667,2.847,3.039,2.098
2024-01-26,TMR,MWT,2.738,2.919,3.107,2.174
2024-01-26,TOK,WKO,2.717,2.876,3.014,2.086
2024-01-26,TOL,GIS,2.889,3.043,3.219,2.326
2024-01-26,TPO,WKO,2.741,2.913,3.076,2.113
2024-01-26,TPU,BOP,2.695,2.885,3.057,2.124
2024-01-26,UHT,WGN,2.639,2.807,2.971,2.037
2024-01-26,WAI,HKB,2.761,2.936,3.117,2.186
2024-01-26,WAN,OTA,2.772,2.927,3.127,2.172
2024-01-26,WHA,MWT,2.66,2.851,3.038,2.09
2024-01-26,WHE,AUK,2.873,3.024,3.185,2.271
2024-01-26,WHG,NTL,2.681,2.88,3.014,2.112
2024-01-26,WHK,BOP,2.716,2.929,3.051,2.151
2024-01-26,WLG,WGN,2.619,2.793,2.937,2.013
2024-01-26,WPT,WTC,2.83,3.018,3.181,2.23
2024-02-02,AKC,AUK,2.741,2.893,3.061,2.131
2024-02-02,ALE,OTA,2.762,2.943,3.104,2.186
2024-02-02,AMK,AUK,2.731,2.896,3.054,2.115
2024-02-02,ANS,AUK,2.74,2.913,3.076,2.136
2024-02-02,ASH,CAN,2.742,2.883,3.065,2.098
2024-02-02,BLE,MBH,2.781,2.943,3.124,2.158
2024-02-02,BLU,STL,2.803,2.976,3.157,2.199
2024-02-02,CAM,WKO,2.729,2.893,3.069,2.097
2024-02-02,CHC,CAN,2.667,2.845,3.02,2.036
2024-02-02,CRO,OTA,2.754,2.912,3.089,2.163
2024-02-02,DAR,NTL,2.826,3.002,3.153,2.223
2024-02-02,DUN,OTA,2.693,2.882,3.016,2.089
2024-02-02,FLD,MWT,2.758,2.904,3.099,2.114
2024-02-02,GBI,AUK,3.142,3.32,3.471,2.533
2024-02-02,GOR,STL,2.779,2.92,3.11,2.168
2024-02-02,GRY,WTC,2.858,3.025,3.17,2.21
2024-02-02,GSB,GIS,2.807,2.98,3.155,2.215
2024-02-02,HAM,WKO,2.672,2.858,3.021,2.057
2024-02-02,HAW,TKI,2.747,2.963,3.152,2.181
2024-02-02,HOK,WTC,2.885,3.059,3.203,2.247
2024-02-02,HST,HKB,2.731,2.914,3.087,2.109
2024-02-02,HVN,HKB,2.756,2.939,3.105,2.158
2024-02-02,INV,STL,2.726,2.886,3.076,2.144
2024-02-02,KAI,NTL,2.851,3.01,3.176,2.234
2024-02-02,KAI2,CAN,2.785,2.95,3.139,2.156
2024-02-02,KKE,NTL,2.82,3.005,3.133,2.205
2024-02-02,LHT,WGN,2.658,2.844,3.0,2.048
2024-02-02,LVN,MWT,2.758,2.901,3.081,2.102
2024-02-02,MAS,WGN,2.735,2.911,3.085,2.106
2024-02-02,MET,CAN,2.81,2.967,3.148,2.175
2024-02-02,MOT,TAS,2.812,2.989,3.143,2.209
2024-02-02,NEL,NSN,2.785,2.925,3.096,2.143
2024-02-02,NPL,TKI,2.687,2.901,3.078,2.112
2024-02-02,NPR,HKB,2.738,2.906,3.08,2.12
2024-02-02,OAM,OTA,2.748,2.91,3.096,2.137
2024-02-02,OHK,MWT,2.836,2.966,3.16,2.192
2024-02-02,PAR,WGN,2.683,2.881,3.033,2.077
2024-02-02,PIC,MBH,2.816,2.967,3.137,2.197
2024-02-02,PMR,MWT,2.696,2.849,3.034,2.054
2024-02-02,PRA,WGN,2.669,2.842,3.015,2.056
2024-02-02,PUK,AUK,2.78,2.954,3.122,2.163
2024-02-02,QNS,OTA,2.836,3.017,3.186,2.223
2024-02-02,RAN,CAN,2.715,2.873,3.043,2.091
2024-02-02,REN,MBH,2.847,3.001,3.172,2.211
2024-02-02,RFT,WTC,2.931,3.104,3.269,2.288
2024-02-02,RIC,TAS,2.796,2.933,3.086,2.154
2024-02-02,ROT,BOP,2.753,2.915,3.128,2.124
2024-02-02,STK,NSN,2.772,2.921,3.107,2.158
2024-02-02,STR,TKI,2.762,2.981,3.152,2.196
2024-02-02,TAK,TAS,2.869,3.039,3.2,2.285
2024-02-02,TAN,STL,2.854,3.011,3.205,2.234
2024-02-02,TEA,WKO,2.753,2.918,3.083,2.106
2024-02-02,TGA,BOP,2.71,2.865,3.079,2.062
2024-02-02,THA,WKO,2.77,2.909,3.076,2.114
2024-02-02,TIM,CAN,2.735,2.893,3.064,2.106
2024-02-02,TMR,MWT,2.806,2.968,3.119,2.16
2024-02-02,TOK,WKO,2.759,2.932,3.099,2.156
2024-02-02,TOL,GIS,2.912,3.104,3.258,2.344
2024-02-02,TPO,WKO,2.786,2.952,3.123,2.177
2024-02-02,TPU,BOP,2.769,2.925,3.121,2.121
2024-02-02,UHT,WGN,2.676,2.86,3.029,2.068
2024-02-02,WAI,HKB,2.814,2.999,3.177,2.188
2024-02-02,WAN,OTA,2.81,2.981,3.167,2.216
2024-02-02,WHA,MWT,2.74,2.872,3.066,2.091
2024-02-02,WHE,AUK,2.913,3.085,3.252,2.293
2024-02-02,WHG,NTL,2.747,2.918,3.064,2.109
2024-02-02,WHK,BOP,2.761,2.954,3.145,2.134
2024-02-02,WLG,WGN,2.655,2.853,3.004,2.041
2024-02-02,WPT,WTC,2.88,3.081,3.225,2.266
2024-02-09,AKC,AUK,2.79,2.956,3.112,2.165
2024-02-09,ALE,OTA,2.808,2.967,3.156,2.171
2024-02-09,AMK,AUK,2.788,2.955,3.114,2.149
2024-02-09,ANS,AUK,2.794,2.969,3.138,2.172
2024-02-09,ASH,CAN,2.767,2.945,3.09,2.145
2024-02-09,BLE,MBH,2.83,2.999,3.161,2.213
2024-02-09,BLU,STL,2.833,2.975,3.193,2.24
2024-02-09,CAM,WKO,2.754,2.897,3.098,2.145
2024-02-09,CHC,CAN,2.718,2.91,3.04,2.093
2024-02-09,CRO,OTA,2.783,2.976,3.115,2.173
2024-02-09,DAR,NTL,2.859,3.052,3.187,2.242
2024-02-09,DUN,OTA,2.719,2.885,3.069,2.112
2024-02-09,FLD,MWT,2.775,2.939,3.124,2.148
2024-02-09,GBI,AUK,3.2,3.344,3.533,2.561
2024-02-09,GOR,STL,2.801,2.948,3.155,2.207
2024-02-09,GRY,WTC,2.884,3.054,3.215,2.244
2024-02-09,GSB,GIS,2.865,3.013,3.189,2.227
2024-02-09,HAM,WKO,2.669,2.864,3.048,2.091
2024-02-09,HAW,TKI,2.83,3.011,3.162,2.194
2024-02-09,HOK,WTC,2.895,3.103,3.244,2.253
2024-02-09,HST,HKB,2.764,2.958,3.135,2.186
2024-02-09,HVN,HKB,2.795,2.962,3.146,2.189
2024-02-09,INV,STL,2.775,2.91,3.117,2.177
2024-02-09,KAI,NTL,2.887,3.064,3.221,2.258
2024-02-09,KAI2,CAN,2.837,3.012,3.161,2.195
2024-02-09,KKE,NTL,2.844,3.023,3.19,2.249
2024-02-09,LHT,WGN,2.719,2.902,3.062,2.08
2024-02-09,LVN,MWT,2.757,2.943,3.12,2.128
2024-02-09,MAS,WGN,2.781,2.961,3.127,2.139
2024-02-09,MET,CAN,2.842,3.026,3.178,2.243
2024-02-09,MOT,TAS,2.868,3.012,3.182,2.207
2024-02-09,NEL,NSN,2.776,2.949,3.134,2.19
2024-02-09,NPL,TKI,2.772,2.939,3.074,2.111
2024-02-09,NPR,HKB,2.751,2.936,3.128,2.164
2024-02-09,OAM,OTA,2.798,2.954,3.118,2.155
2024-02-09,OHK,MWT,2.838,3.005,3.178,2.224
2024-02-09,PAR,WGN,2.737,2.935,3.079,2.091
2024-02-09,PIC,MBH,2.851,3.045,3.172,2.233
2024-02-09,PMR,MWT,2.711,2.885,3.079,2.08
2024-02-09,PRA,WGN,2.713,2.885,3.071,2.093
2024-02-09,PUK,AUK,2.833,2.976,3.16,2.2
2024-02-09,QNS,OTA,2.893,3.048,3.208,2.242
2024-02-09,RAN,CAN,2.768,2.934,3.083,2.138
2024-02-09,REN,MBH,2.881,3.049,3.187,2.26
2024-02-09,RFT,WTC,2.956,3.154,3.288,2.313
2024-02-09,RIC,TAS,2.815,2.962,3.14,2.163
2024-02-09,ROT,BOP,2.781,2.954,3.141,2.188
2024-02-09,STK,NSN,2.802,3.0,3.148,2.184
2024-02-09,STR,TKI,2.824,3.024,3.166,2.206
2024-02-09,TAK,TAS,2.931,3.085,3.233,2.273
2024-02-09,TAN,STL,2.889,3.009,3.235,2.283
2024-02-09,TEA,WKO,2.762,2.91,3.091,2.152
2024-02-09,TGA,BOP,2.713,2.898,3.066,2.145
2024-02-09,THA,WKO,2.781,2.933,3.112,2.153
2024-02-09,TIM,CAN,2.789,2.938,3.135,2.162
2024-02-09,TMR,MWT,2.815,3.007,3.158,2.207
2024-02-09,TOK,WKO,2.779,2.94,3.119,2.167
2024-02-09,TOL,GIS,2.984,3.139,3.314,2.35
2024-02-09,TPO,WKO,2.808,2.975,3.149,2.202
2024-02-09,TPU,BOP,2.792,2.957,3.133,2.192
2024-02-09,UHT,WGN,2.718,2.885,3.07,2.096
2024-02-09,WAI,HKB,2.847,3.027,3.196,2.235
2024-02-09,WAN,OTA,2.867,3.023,3.191,2.236
2024-02-09,WHA,MWT,2.74,2.931,3.104,2.13
2024-02-09,WHE,AUK,2.968,3.111,3.307,2.337
2024-02-09,WHG,NTL,2.79,2.943,3.11,2.143
2024-02-09,WHK,BOP,2.812,2.979,3.162,2.205
2024-02-09,WLG,WGN,2.708,2.885,3.055,2.051
2024-02-09,WPT,WTC,2.92,3.114,3.265,2.297
2024-02-16,AKC,AUK,2.792,2.994,3.131,2.164
2024-02-16,ALE,OTA,2.841,2.978,3.151,2.202
2024-02-16,AMK,AUK,2.77,2.963,3.13,2.172
2024-02-16,ANS,AUK,2.777,3.021,3.159,2.187
2024-02-16,ASH,CAN,2.781,2.976,3.11,2.157
2024-02-16,BLE,MBH,2.853,3.003,3.177,2.211
2024-02-16,BLU,STL,2.861,3.016,3.183,2.235
2024-02-16,CAM,WKO,2.778,2.953,3.136,2.135
2024-02-16,CHC,CAN,2.744,2.935,3.072,2.113
2024-02-16,CRO,OTA,2.824,2.969,3.159,2.186
2024-02-16,DAR,NTL,2.881,3.074,3.222,2.284
2024-02-16,DUN,OTA,2.75,2.919,3.077,2.113
2024-02-16,FLD,MWT,2.801,2.963,3.149,2.193
2024-02-16,GBI,AUK,3.192,3.403,3.544,2.607
2024-02-16,GOR,STL,2.814,2.996,3.154,2.212
2024-02-16,GRY,WTC,2.899,3.1,3.278,2.281
2024-02-16,GSB,GIS,2.885,3.054,3.244,2.237
2024-02-16,HAM,WKO,2.723,2.905,3.108,2.091
2024-02-16,HAW,TKI,2.841,3.016,3.168,2.229
2024-02-16,HOK,WTC,2.929,3.117,3.286,2.306
2024-02-16,HST,HKB,2.777,2.969,3.123,2.175
2024-02-16,HVN,HKB,2.803,2.982,3.159,2.198
2024-02-16,INV,STL,2.782,2.952,3.13,2.193
2024-02-16,KAI,NTL,2.924,3.078,3.224,2.284
2024-02-16,KAI2,CAN,2.832,3.038,3.187,2.228
2024-02-16,KKE,NTL,2.893,3.066,3.21,2.26
2024-02-16,LHT,WGN,2.731,2.898,3.069,2.118
2024-02-16,LVN,MWT,2.783,2.973,3.145,2.168
2024-02-16,MAS,WGN,2.798,2.976,3.127,2.174
2024-02-16,MET,CAN,2.863,3.03,3.199,2.259
2024-02-16,MOT,TAS,2.875,3.058,3.21,2.222
2024-02-16,NEL,NSN,2.823,2.968,3.145,2.174
2024-02-16,NPL,TKI,2.784,2.956,3.099,2.153
2024-02-16,NPR,HKB,2.777,2.949,3.13,2.163
2024-02-16,OAM,OTA,2.814,2.961,3.125,2.184
2024-02-16,OHK,MWT,2.863,3.034,3.211,2.25
2024-02-16,PAR,WGN,2.772,2.935,3.085,2.148
2024-02-16,PIC,MBH,2.885,3.054,3.203,2.254
